filename,site,size,footprint,height,num_stories,num_units,num_adiabatic,inf_rate,orientation,wwr,frame,polyiso_t,cellulose_t,setback,rear_setback,side_setback,structure_setback,assembly_r,area_buildable,surf_area,volume,surf_vol_ratio,cooling,heating,lighting,equip,water,eui_kwh_m2,eui_kbtu_ft2,carbon_kg,co2e_kg
1014_w_60_5_1_2_1_1_1.csv,2,800,800,10,1,1,1,0.00015,4,0.6,3,1,9.25,1,0,5,5,41.74109749,1619.025972,2805.403838,8000,0.35067548,3.275337167,51.25621452,0.794671132,12.20188503,11.13055157,2.14163773,78.65865942,2502.017306,0.135669
1015_n_20_4_1_2_0_1_1.csv,2,800,800,10,1,1,1,0.00015,1,0.2,3,0,9.25,0,0,5,5,34.74109338,1619.025972,2805.403838,8000,0.35067548,1.334065303,36.39323547,0.819682989,12.20188503,11.13055157,1.684789728,61.87942036,1968.294169,0.135669
1016_w_20_1_0_0_0_1_1.csv,0,600,600,10,1,1,1,0.00059,4,0.2,0,0,3.5,0,0,5,5,15.46593205,810.1583246,2180.06687,6000,0.363344478,1.313432797,86.52303344,0.877076952,12.20188503,11.13055157,3.050673627,112.0459798,2673.014477,0.135669
1017_n_30_5_0_0_1_1_2.csv,0,400,400,10,1,2,2,0.00059,1,0.3,3,1,9.25,1,0,5,5,41.74109749,810.1583246,1600.221248,4000,0.400055312,2.500476838,97.30068926,0.821516445,12.20188503,11.13055157,3.374923524,123.9551191,1971.415834,0.135669
1018_n_60_5_0_2_1_1_2.csv,2,700,700,10,1,2,2,0.00059,1,0.6,3,1,9.25,1,0,5,5,41.74109749,1619.025972,2527.552044,7000,0.361078863,4.279230911,93.66080613,0.790449307,12.20188503,11.13055157,3.323404736,122.062923,3397.313207,0.135669
102_n_40_4_0_2_1_2_1.csv,2,1000,500,20,2,1,2,0.00059,1,0.4,3,0,9.25,1,0,5,5,34.74109338,1619.025972,2905.910814,10000,0.290591081,4.99153049,79.78759697,0.791575784,12.20188503,11.13055157,2.965103588,108.9031398,4330.062682,0.135669
1020_e_30_3_0_3_1_1_1.csv,3,800,800,10,1,1,1,0.00059,3,0.3,2,0,7.25,1,0,5,5,28.03668944,2225.954944,2734.377827,8000,0.341797228,1.170441659,78.04936731,0.823843816,12.20188503,11.13055157,2.814618696,103.3760894,3288.242726,0.135669
1022_s_30_1_0_2_0_1_1.csv,2,1000,1000,10,1,1,1,0.00059,2,0.3,0,0,3.5,0,0,5,5,15.46593205,1619.025972,3347.682461,10000,0.334768246,1.814312059,77.80083466,0.812799089,12.20188503,11.13055157,2.825081835,103.7603824,4125.583159,0.135669
1023_w_50_3_1_3_1_1_1.csv,3,700,700,10,1,1,1,0.00015,4,0.5,2,0,7.25,1,0,5,5,28.03668944,2225.954944,2461.113294,7000,0.351587613,2.899423204,48.69827811,0.803485563,12.20188503,11.13055157,2.061997836,75.73362348,2107.854154,0.135669
1024_w_60_3_1_2_1_1_1.csv,2,600,600,10,1,1,1,0.00015,4,0.6,2,0,7.25,1,0,5,5,28.03668944,1619.025972,2243.910346,6000,0.373985058,3.983376219,57.53200039,0.790825155,12.20188503,11.13055157,2.331681476,85.63863837,2043.030197,0.135669
1025_e_30_0_1_1_0_2_1.csv,1,600,300,20,2,1,2,0.00015,3,0.3,0,1,0,0,5,5,5,10.73322927,1050.646485,2049.523607,6000,0.341587268,4.619470537,58.4910798,0.802391865,12.20188503,11.13055157,2.375428165,87.2453788,2081.361251,0.135669
1026_w_10_3_1_3_0_2_1.csv,3,900,450,20,2,1,2,0.00015,4,0.1,2,0,7.25,0,5,5,5,28.03668944,1972.217303,2612.180088,9000,0.290242232,2.098389341,29.84014085,0.843944701,12.20188503,11.13055157,1.527839561,56.11491149,2008.050237,0.135669
1027_w_30_2_0_2_0_1_2.csv,2,1000,1000,10,1,2,2,0.00059,4,0.3,1,0,5.5,0,0,5,5,22.17033599,1619.025972,3347.682461,10000,0.334768246,1.537745076,76.90656275,0.818069339,12.20188503,11.13055157,2.793346921,102.5948138,4079.23936,0.135669
1028_s_60_4_0_2_1_1_2.csv,2,400,400,10,1,2,2,0.00059,2,0.6,3,0,9.25,1,0,5,5,34.74109338,1619.025972,1652.349228,4000,0.413087307,6.007370886,115.7897638,0.783818102,12.20188503,11.13055157,3.972780905,145.9133894,2320.64612,0.135669
1029_w_50_1_1_0_0_2_1.csv,0,700,350,20,2,1,2,0.00015,4,0.5,0,0,3.5,0,0,5,5,15.46593205,810.1583246,2197.076872,7000,0.313868125,5.661785931,60.5392085,0.796337546,12.20188503,11.13055157,2.459406783,90.32976858,2514.100993,0.135669
103_w_50_1_1_3_1_1_2.csv,3,400,400,10,1,2,2,0.00015,4,0.5,0,0,3.5,1,0,5,5,15.46593205,2225.954944,1602.126254,4000,0.400531564,4.761301911,64.68966963,0.792163286,12.20188503,11.13055157,2.547780192,93.57557142,1488.251267,0.135669
1030_s_10_2_1_0_1_2_1.csv,0,600,300,20,2,1,2,0.00015,2,0.1,1,0,5.5,1,0,5,5,22.17033599,810.1583246,1986.023859,6000,0.331003977,2.189116916,38.00172943,0.848179975,12.20188503,11.13055157,1.75264052,64.37146292,1535.671808,0.135669
1031_n_60_1_0_2_1_1_1.csv,2,600,600,10,1,1,1,0.00059,1,0.6,0,0,3.5,1,0,5,5,15.46593205,1619.025972,2243.910346,6000,0.373985058,4.520513597,99.53570878,0.788722996,12.20188503,11.13055157,3.489882988,128.177382,3057.851771,0.135669
1032_s_20_3_1_3_0_2_1.csv,3,600,300,20,2,1,2,0.00015,2,0.2,2,0,7.25,0,5,5,5,28.03668944,1972.217303,1997.989188,6000,0.332998198,3.570466712,41.82629407,0.804302013,12.20188503,11.13055157,1.893187183,69.5334994,1658.81945,0.135669
1033_w_50_3_0_0_0_2_1.csv,0,1000,500,20,2,1,2,0.00059,4,0.5,2,0,7.25,0,0,5,5,28.03668944,810.1583246,2789.349108,10000,0.278934911,4.431856849,84.33203407,0.802113321,12.20188503,11.13055157,3.073883567,112.8984408,4488.918559,0.135669
1034_w_60_5_1_3_0_2_1.csv,3,700,350,20,2,1,2,0.00015,4,0.6,3,1,9.25,0,5,5,5,41.74109749,1972.217303,2210.000904,7000,0.315714415,7.399433093,61.1518016,0.787192767,12.20188503,11.13055157,2.523147743,92.67086406,2579.259473,0.135669
1035_n_10_5_1_0_0_2_1.csv,0,800,400,20,2,1,2,0.00015,1,0.1,3,1,9.25,0,0,5,5,41.74109749,810.1583246,2400.442496,8000,0.300055312,1.91097263,28.89518078,0.860481019,12.20188503,11.13055157,1.497458595,54.99907103,1749.440285,0.135669
1036_s_40_3_0_3_1_1_2.csv,3,700,700,10,1,2,2,0.00059,2,0.4,2,0,7.25,1,0,5,5,28.03668944,2225.954944,2461.113294,7000,0.351587613,2.551309884,86.58428575,0.805679817,12.20188503,11.13055157,3.084101069,113.2737121,3152.687718,0.135669
1037_s_20_1_1_3_1_1_1.csv,3,400,400,10,1,1,1,0.00015,2,0.2,0,0,3.5,1,0,5,5,15.46593205,2225.954944,1602.126254,4000,0.400531564,2.077788587,49.69242449,0.812228567,12.20188503,11.13055157,2.066932856,75.91487824,1207.370813,0.135669
