,orient,wwr,glazing,shading,shgc,inf_rate,exterior_mat,exterior_t (in),interior_mat,interior_t (in),Embodied (kg CO2e / ft2),Win Embodied (kg CO2e / ft2),Wall Embodied (kg CO2e / ft2),Operational (kg CO2e / ft2 * year),Cooling EUI (kBtu / ft2 * year),Heating EUI (kBtu / ft2 * year),Lighting EUI (kBtu / ft2 * year),Wall R (ft2 * F * h / BTU),city,program,city_gwp,tot_eui_kwh,area,payback_linear,Total GWP Linear (kg CO2e / ft2) 50 year,Op GWP Linear (kg CO2e / ft2) 50 year,Total GWP non-linear 2% (kg CO2e / ft2) 50 year,Op GWP non-linear 2% (kg CO2e / ft2) 50 year,Total GWP non-linear 3% (kg CO2e / ft2) 50 year,Op GWP non-linear 3% (kg CO2e / ft2) 50 year,Total GWP non-linear 5% (kg CO2e / ft2) 50 year,Op GWP non-linear 5% (kg CO2e / ft2) 50 year
mi_w_40_0_2_residential_glz.json,w,0.4,Triple,0.0,0.25,0.00015,Polyiso,0.0,Cellulose,0.0,1.9428590879795500,1.4268456677117200,0.5160134202678270,8.434920038262700,7.568077104552740,15.655864102463400,1.7221137250456200,3.7,Milwaukee,residential,0.559278936,14326.194519043800,949.900982012169,0.23,423.6888610011150,421.7460019131350,217.03332006367800,215.09046097569900,146.77043614495000,144.82757705697100,90.50951948973780,88.56666040175830
se_e_20_0_0_residential_glz.json,e,0.2,Triple,0.0,0.25,0.00059,Polyiso,0.0,Cellulose,0.0,1.4014407275463000,0.7134228338558600,0.6880178936904360,1.717277147067520,1.9607209684014700,12.892869354468100,1.8216695622247700,3.7,Seattle,residential,0.135669,12023.69921195330,949.900982012169,0.82,87.26529808092230,85.86385735337600,45.192007977768100,43.79056725022180,30.88708934269570,29.485648615149400,19.432850771755300,18.03141004420900
ny_w_0_2_0_office_glz.json,w,0.0,Triple,0.0,0.25,0.00059,Polyiso,1.0,Cellulose,0.0,2.390922296101350,0.0,2.390922296101350,2.3015764564351700,11.806188446207700,11.98025610083620,8.556175103480660,10.7,New York,office,0.171548494,29942.38308364550,2231.76193448134,1.04,117.46974511786000,115.07882282175900,61.08112193519830,58.69019963909690,41.90899005309320,39.5180677569919,26.55747508867060,24.166552792569300
mi_n_60_9_2_residential_glz.json,n,0.6,Triple,0.0,0.25,0.00015,Polyiso,3.0,Cellulose,9.25,3.0209290587191800,2.140268501567580,0.8806605571515970,7.419145821443690,6.201172473130560,10.804410648308700,1.7432710703879200,55.7,Milwaukee,residential,0.559278936,12600.964291422600,949.900982012169,0.41,373.9782201309040,370.95729107218500,192.20914750553300,189.18821844681400,130.40766281290700,127.38673375418800,80.92196018387780,77.90103112515860
sa_n_80_9_0_office_glz.json,n,0.8,Triple,0.0,0.25,0.00059,Polyiso,5.0,Cellulose,6.0,5.688884469446200,4.710859883729440,0.9780245857167640,6.798479225547810,34.04919193762600,4.5729221864521000,3.9318243167278000,60.9,San Antonio,office,0.414311,36621.25106004860,2231.76193448134,0.84,345.6128457468370,339.9239612773910,179.05010472091500,173.36122025146900,122.41877277210200,116.72988830265600,77.07291633769820,71.38403186825190
ny_n_0_10_0_office_glz.json,n,0.0,Triple,0.0,0.25,0.00059,Polyiso,5.0,Cellulose,8.0,5.488550484632150,0.0,5.488550484632150,2.031893832533990,10.510027368194800,7.912366193253200,8.556175103480660,68.3,New York,office,0.171548494,26433.944155503700,2231.76193448134,2.7,107.08324211133100,101.59469162669900,57.301843214248900,51.813292729616700,40.37616758924070,34.88761710460850,26.823435726239000,21.33488524160690
sa_w_60_2_0_residential_glz.json,w,0.6,Triple,0.0,0.25,0.00059,Polyiso,1.0,Cellulose,0.0,2.6010736991690900,2.140268501567580,0.46080519760151000,8.142452774473060,35.82361894238190,3.121369434869710,1.598709572795960,10.7,San Antonio,residential,0.414311,18668.400999393400,949.900982012169,0.32,409.72371242282100,407.12263872365200,210.2336194482320,207.63254574906300,142.40698783687100,139.80591413770200,88.0968278311361,85.495754131967
mi_n_20_7_2_office_glz.json,n,0.2,Triple,0.0,0.25,0.00015,Polyiso,3.0,Cellulose,6.0,4.31858656558325,1.1777149709323600,3.1408715946508900,6.290279046308280,7.002413817290850,11.165484540352600,6.772581469958950,46.9,Milwaukee,office,0.559278936,25100.901230466500,2231.76193448134,0.69,318.8325388809970,314.51395231541400,164.72070224644400,160.4021156808610,112.32267779069600,108.0040912251130,70.36651655182010,66.04792998623690
ny_s_0_5_0_office_glz.json,s,0.0,Triple,0.0,0.25,0.00059,Polyiso,1.0,Cellulose,6.0,2.9620560580434000,0.0,2.9620560580434000,2.0892834972100500,11.026293605565100,8.537593919844950,8.556175103480660,32.9,New York,office,0.171548494,27180.5556008754,2231.76193448134,1.42,107.42623091854600,104.46417486050200,56.23878523689970,53.27672917885630,38.835053705140000,35.872997647096600,24.89953277874890,21.937476720705500
sa_s_60_5_1_residential_glz.json,s,0.6,Triple,0.0,0.25,0.0003,Polyiso,0.0,Cellulose,7.25,2.625628567599760,2.140268501567580,0.48536006603218,7.666543571012320,33.44292976521040,1.5357672136241000,1.6455568109167700,28.0,San Antonio,residential,0.414311,17577.27230689910,949.900982012169,0.34,385.9528071182150,383.32717855061600,198.12248962841400,195.49686106081400,134.2601816818810,131.63455311428100,83.12433606322910,80.49870749562930
