filename,site,size,footprint,height,num_stories,num_adiabatic,inf_rate,orientation,WWR,frame,polyiso_t,cellulose_t,setback,rear_setback,side_setback,structure_setback,assembly_r,area_buildable,surf_area,volume,surf_vol_ratio,EUI,carbon,kgCO2e
n_10_5_0_1_1_1,1,200,200,10,1,1,0.00059,1,0.1,3,1,9.25,1,0,5,5,7.351032352,1170.409731,1002.009859,2000,0.50100493,135.018,1073.679125,0.135669
n_10_5_1_1_1_1,1,200,200,10,1,1,0.00015,1,0.1,3,1,9.25,1,0,5,5,7.351032352,1170.409731,1002.009859,2000,0.50100493,135.018,1073.679125,0.135669
n_10_2_0_3_1_1,3,200,200,10,1,1,0.00059,1,0.1,1,0,5.5,1,0,5,5,3.904421947,2225.954944,967.1889137,2000,0.483594457,135.087,1074.231183,0.135669
n_10_2_1_3_1_1,3,200,200,10,1,1,0.00015,1,0.1,1,0,5.5,1,0,5,5,3.904421947,2225.954944,967.1889137,2000,0.483594457,135.087,1074.231183,0.135669
n_20_5_0_3_1_1,3,200,200,10,1,1,0.00059,1,0.2,3,1,9.25,1,0,5,5,7.351032352,2225.954944,967.1889137,2000,0.483594457,135.418,1076.865431,0.135669
n_20_5_1_3_1_1,3,200,200,10,1,1,0.00015,1,0.2,3,1,9.25,1,0,5,5,7.351032352,2225.954944,967.1889137,2000,0.483594457,135.418,1076.865431,0.135669
n_10_2_0_3_0_1,3,200,200,10,1,1,0.00059,1,0.1,1,0,5.5,0,5,5,5,3.904421947,1972.217303,970.726696,2000,0.485363348,135.56,1077.992234,0.135669
n_10_2_1_3_0_1,3,200,200,10,1,1,0.00015,1,0.1,1,0,5.5,0,5,5,5,3.904421947,1972.217303,970.726696,2000,0.485363348,135.56,1077.992234,0.135669
n_10_4_0_2_0_1,2,200,200,10,1,1,0.00059,1,0.1,3,0,9.25,0,0,5,5,6.118260341,1619.025972,1002.701919,2000,0.50135096,135.823,1080.079466,0.135669
n_10_4_0_2_1_1,2,200,200,10,1,1,0.00059,1,0.1,3,0,9.25,1,0,5,5,6.118260341,1619.025972,1002.701919,2000,0.50135096,135.823,1080.079466,0.135669
n_10_4_1_2_0_1,2,200,200,10,1,1,0.00015,1,0.1,3,0,9.25,0,0,5,5,6.118260341,1619.025972,1002.701919,2000,0.50135096,135.823,1080.079466,0.135669
n_10_4_1_2_1_1,2,200,200,10,1,1,0.00015,1,0.1,3,0,9.25,1,0,5,5,6.118260341,1619.025972,1002.701919,2000,0.50135096,135.823,1080.079466,0.135669
n_20_5_0_3_0_1,3,200,200,10,1,1,0.00059,1,0.2,3,1,9.25,0,5,5,5,7.351032352,1972.217303,970.726696,2000,0.485363348,135.844,1080.250881,0.135669
n_20_5_1_3_0_1,3,200,200,10,1,1,0.00015,1,0.2,3,1,9.25,0,5,5,5,7.351032352,1972.217303,970.726696,2000,0.485363348,135.844,1080.250881,0.135669
n_10_2_0_0_0_1,0,200,200,10,1,1,0.00059,1,0.1,1,0,5.5,0,0,5,5,3.904421947,810.1583246,965.841871,2000,0.482920935,136.033,1081.755805,0.135669
n_10_2_0_0_1_1,0,200,200,10,1,1,0.00059,1,0.1,1,0,5.5,1,0,5,5,3.904421947,810.1583246,965.841871,2000,0.482920935,136.033,1081.755805,0.135669
n_10_2_1_0_0_1,0,200,200,10,1,1,0.00015,1,0.1,1,0,5.5,0,0,5,5,3.904421947,810.1583246,965.841871,2000,0.482920935,136.033,1081.755805,0.135669
n_10_2_1_0_1_1,0,200,200,10,1,1,0.00015,1,0.1,1,0,5.5,1,0,5,5,3.904421947,810.1583246,965.841871,2000,0.482920935,136.033,1081.755805,0.135669
n_10_4_0_1_1_1,1,200,200,10,1,1,0.00059,1,0.1,3,0,9.25,1,0,5,5,6.118260341,1170.409731,1002.009859,2000,0.50100493,136.201,1083.089315,0.135669
n_10_4_1_1_1_1,1,200,200,10,1,1,0.00015,1,0.1,3,0,9.25,1,0,5,5,6.118260341,1170.409731,1002.009859,2000,0.50100493,136.201,1083.089315,0.135669
n_20_4_0_3_1_1,3,200,200,10,1,1,0.00059,1,0.2,3,0,9.25,1,0,5,5,6.118260341,2225.954944,967.1889137,2000,0.483594457,136.412,1084.765654,0.135669
n_20_4_1_3_1_1,3,200,200,10,1,1,0.00015,1,0.2,3,0,9.25,1,0,5,5,6.118260341,2225.954944,967.1889137,2000,0.483594457,136.412,1084.765654,0.135669
n_10_3_0_1_0_1,1,200,200,10,1,1,0.00059,1,0.1,2,0,7.25,0,5,5,5,4.937546531,1050.646485,991.7655344,2000,0.495882767,136.627,1086.479806,0.135669
n_10_3_1_1_0_1,1,200,200,10,1,1,0.00015,1,0.1,2,0,7.25,0,5,5,5,4.937546531,1050.646485,991.7655344,2000,0.495882767,136.627,1086.479806,0.135669
n_20_4_0_3_0_1,3,200,200,10,1,1,0.00059,1,0.2,3,0,9.25,0,5,5,5,6.118260341,1972.217303,970.726696,2000,0.485363348,136.79,1087.775503,0.135669
n_20_4_1_3_0_1,3,200,200,10,1,1,0.00015,1,0.2,3,0,9.25,0,5,5,5,6.118260341,1972.217303,970.726696,2000,0.485363348,136.79,1087.775503,0.135669
n_20_5_0_0_0_1,0,200,200,10,1,1,0.00059,1,0.2,3,1,9.25,0,0,5,5,7.351032352,810.1583246,965.841871,2000,0.482920935,136.79,1087.775503,0.135669
n_20_5_0_0_1_1,0,200,200,10,1,1,0.00059,1,0.2,3,1,9.25,1,0,5,5,7.351032352,810.1583246,965.841871,2000,0.482920935,136.79,1087.775503,0.135669
n_20_5_1_0_0_1,0,200,200,10,1,1,0.00015,1,0.2,3,1,9.25,0,0,5,5,7.351032352,810.1583246,965.841871,2000,0.482920935,136.79,1087.775503,0.135669
n_20_5_1_0_1_1,0,200,200,10,1,1,0.00015,1,0.2,3,1,9.25,1,0,5,5,7.351032352,810.1583246,965.841871,2000,0.482920935,136.79,1087.775503,0.135669
n_10_3_0_2_0_1,2,200,200,10,1,1,0.00059,1,0.1,2,0,7.25,0,0,5,5,4.937546531,1619.025972,1002.701919,2000,0.50135096,137.574,1094.006949,0.135669
n_10_3_0_2_1_1,2,200,200,10,1,1,0.00059,1,0.1,2,0,7.25,1,0,5,5,4.937546531,1619.025972,1002.701919,2000,0.50135096,137.574,1094.006949,0.135669
n_10_3_1_2_0_1,2,200,200,10,1,1,0.00015,1,0.1,2,0,7.25,0,0,5,5,4.937546531,1619.025972,1002.701919,2000,0.50135096,137.574,1094.006949,0.135669
